4.294,3.791,1.000
3.037,4.595,1.000
1.440,1.769,0.000
1.653,3.062,0.000
1.557,2.406,0.000
3.933,3.597,1.000
1.827,5.986,1.000
3.980,3.983,1.000
2.828,1.202,0.000
4.300,4.109,1.000
3.054,4.524,1.000
2.836,4.893,1.000
1.101,2.265,0.000
3.840,4.129,1.000
3.787,4.248,1.000
3.410,4.765,1.000
1.430,3.215,0.000
0.637,3.429,0.000
3.694,4.188,1.000
2.290,1.732,0.000
5.502,3.227,1.000
5.086,2.840,1.000
1.402,2.205,0.000
2.684,1.303,0.000
3.969,4.675,1.000
0.625,3.556,0.000
2.519,1.750,0.000
3.737,4.865,1.000
2.296,2.149,0.000
4.224,3.140,1.000
2.662,1.186,0.000
3.855,3.965,1.000
1.868,2.052,0.000
1.822,1.884,0.000
3.354,4.712,1.000
4.324,3.355,1.000
2.553,0.882,0.000
5.339,2.167,1.000
4.449,3.030,1.000
4.569,3.605,1.000
1.729,2.140,0.000
2.489,1.127,0.000
4.429,3.881,1.000
5.114,2.962,1.000
3.104,5.087,1.000
4.273,3.821,1.000
4.349,4.009,1.000
2.308,1.762,0.000
2.350,1.478,0.000
1.855,2.201,0.000
2.621,1.804,0.000
2.892,5.014,1.000
3.936,4.105,1.000
4.230,0.015,0.000
1.209,2.888,0.000
5.007,2.868,1.000
3.412,0.627,0.000
2.591,1.132,0.000
2.175,1.849,0.000
0.835,3.398,0.000
3.327,4.613,1.000
4.327,3.552,1.000
1.246,2.963,0.000
3.466,4.769,1.000
2.078,1.711,0.000
1.938,2.374,0.000
2.396,1.550,0.000
2.968,0.577,0.000
4.435,3.938,1.000
0.932,2.824,0.000
4.921,3.178,1.000
4.558,3.877,1.000
3.008,1.968,0.000
1.581,2.455,0.000
4.454,3.745,1.000
5.068,3.221,1.000
1.948,2.403,0.000
3.416,4.206,1.000
2.880,5.374,1.000
3.357,4.824,1.000
2.297,2.155,0.000
5.234,2.455,1.000
1.765,2.110,0.000
4.960,3.025,1.000
3.221,4.877,1.000
1.522,2.235,0.000
3.085,5.236,1.000
2.226,1.680,0.000
1.391,2.465,0.000
1.918,2.032,0.000
3.228,4.823,1.000
3.179,4.601,1.000
2.871,0.938,0.000
1.740,2.265,0.000
1.280,2.607,0.000
0.317,3.342,0.000
2.800,0.883,0.000
4.808,3.146,1.000
4.959,2.756,1.000
2.194,2.686,0.000
1.798,2.464,0.000
2.577,1.473,0.000
2.269,1.545,0.000
1.980,1.862,0.000
1.971,1.885,0.000
2.658,1.754,0.000
4.795,3.675,1.000
3.128,4.574,1.000
2.827,1.470,0.000
3.922,0.421,0.000
1.028,3.147,0.000
4.119,4.291,1.000
3.146,4.629,1.000
1.804,1.464,0.000
2.599,1.700,0.000
3.165,4.286,1.000
2.005,2.807,0.000
4.733,3.344,1.000
2.909,4.844,1.000
1.809,2.084,0.000
2.298,2.426,0.000
1.999,2.254,0.000
2.397,1.904,0.000
3.602,4.077,1.000
3.343,4.125,1.000
2.516,1.790,0.000
3.121,0.326,0.000
4.057,3.842,1.000
2.571,1.198,0.000
5.024,2.881,1.000
3.953,3.361,1.000
4.007,3.253,1.000
2.941,5.264,1.000
0.669,3.361,0.000
3.802,4.103,1.000
3.600,4.599,1.000
4.367,3.514,1.000
3.944,0.083,0.000
4.923,3.622,1.000
2.879,4.881,1.000
4.622,3.713,1.000
4.334,3.773,1.000
5.268,2.782,1.000
2.114,1.995,0.000
3.460,4.358,1.000
3.865,4.402,1.000
2.746,1.076,0.000
3.452,4.902,1.000
2.024,2.016,0.000
3.562,4.476,1.000
3.920,4.428,1.000
2.943,5.032,1.000
3.569,4.514,1.000
1.833,2.769,0.000
4.666,3.150,1.000
1.322,2.490,0.000
0.562,3.301,0.000
2.842,1.369,0.000
2.306,2.269,0.000
2.857,1.128,0.000
3.774,0.372,0.000
3.663,4.023,1.000
3.865,3.719,1.000
1.445,2.704,0.000
1.972,1.888,0.000
1.611,2.732,0.000
4.301,3.840,1.000
1.788,2.559,0.000
3.823,4.147,1.000
1.554,2.942,0.000
2.364,1.846,0.000
1.573,2.175,0.000
1.876,2.927,0.000
1.670,1.847,0.000
1.293,2.654,0.000
3.599,4.537,1.000
3.789,4.094,1.000
3.114,4.842,1.000
3.654,3.609,1.000
5.190,3.076,1.000
2.222,2.032,0.000
5.138,3.514,1.000
5.032,3.089,1.000
3.623,3.940,1.000
2.014,1.760,0.000
2.172,1.380,0.000
3.361,4.650,1.000
2.927,0.868,0.000
4.664,3.024,1.000
2.547,1.603,0.000
2.571,1.782,0.000
2.429,0.635,0.000
3.769,3.559,1.000
2.404,1.973,0.000
3.046,4.824,1.000
3.284,5.146,1.000
4.618,3.633,1.000
2.469,1.981,0.000
3.148,4.399,1.000
2.479,5.360,1.000
